HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
ALAMO (3),AZ0005,288094,52950,288094,52950,0,,0,,200,,151,,,June 2003,2003
BIG SANDY (3),AZ0004,192155,51750,192155,51750,0,,0,,139,,137,,,June 2003,2003
BLACK MOUNTAIN,AZ0003,574833,519476,566402,440379,0,,0,,478,,434,,,December 2003,2001
CERBAT MOUNTAINS,AZ0002,60448,22595,60448,22595,90,,60,,0,,0,,,March 1995,
CIBOLA-TRIGO,AZ0011,281388,746513,279595,639343,150,,135,,165,,180,,,December 2003,2002
HAVASU (3),AZ0010,308625,101688,308573,78119,0,,0,,170,,209,,,December 2002,2005
LAKE PLEASANT,AZ0006,60819,42641,60819,42641,0,,0,,208,,208,,,July 2002,2001
HARQUAHALA,AZ0008,117466,8788,,,,,0,,,,47,,,June 2002,
LITTLE HARQUAHALA MOUNTAINS,AZ0009,51945,13946,,,,,0,,,,0,,,September 1997,
PAINTED ROCKS,AZ0007,31286,7452,,,,,0,,,,25,,,September 1999,
TASSI-GOLD BUTTE,AZ0001,52873,50199,,,,,0,,,,10,,,January 2002,
OUTSIDE OF HERD AREAS,AZ000Z,,,,,,,20,,,,100,,,March 2002,
BITNER,CA0267,47526,2907,47526,2907,25,,85,,0,,0,,,October 1993,2003
BUCKHORN,CA0262,67234,8892,67234,8892,85,,287,,0,,0,,,November 2003,2004
CARTER RESERVOIR,CA0269,21062,1872,21062,1872,35,,108,,0,,0,,,August 2003,2004
CENTENNIAL,CA0654,358574,671783,71353,247147,168,,168,,0,,45,,,December 2006,2007
CHEMEHUEVI,CA0698,377671,31522,105253,8228,0,,0,,108,,174,,,May 2003,2004
CHICAGO VALLEY,CA0681,311718,21310,258409,19189,12,,6,,0,,0,,,September 2005,2005
CHOCOLATE-MULE MOUNTAINS,CA0671,340947,254909,150757,8404,0,,0,,121,,104,,,March 2006,2006
COPPERSMITH,CA0261,60114,13216,60114,13216,75,,78,,0,,0,,,July 2005,2005
FORT SAGE,CA0241,13649,2257,13649,2257,65,,50,,0,,0,,,September 1988,2001
FOX HOG,CA0263,92223,4577,92223,4577,220,,144,,0,,0,,,August 2005,2005
HIGH ROCK,CA0264,138510,527,94606,94,120,,124,,0,,0,,,September 2006,2006
LEE FLAT,CA0652,133360,2149,71940,1308,0,,0,,15,,0,,,October 2001,2006
MASSACRE LAKES,CA0268,63077,2581,35872,1478,20,,131,,0,,0,,,October 1988,1988
NEW RAVENDALE,CA0243,23451,8731,9348,5548,25,,49,,0,,0,,,July 2004,2004
NUT MOUNTAIN,CA0266,38327,1793,38327,1793,55,,179,,0,,0,,,October 2000,2001
PALM CANYON,CA0662,2758,6773,2758,6773,6,,0,,0,,0,,,August 2002,2002
PIPER MOUNTAIN,CA0656,95937,8397,87876,8312,17,,0,,82,,0,,,April 1994,
RED ROCK LAKES,CA0251,13464,5146,13464,5146,25,,89,,0,,0,,,September 2003,2004
TWIN PEAKS,CA0242,636231,121841,636231,121841,758,,779,,116,,86,,,August 2006,2006
WALL CANYON,CA0265,38909,2243,38909,2243,25,,82,,0,,0,,,November 2001,2004
WAUCOBA-HUNTER MOUNTAIN**,CA0651,464307,5932,22042,537,0,,0,,11,,13,,,October 2001,2004
ROUND MOUNTAIN (Devils Garden Plateau)*,CA0252,7637,93,7637,93,10,,12,,0,,0,,,August 2004,2005
CIMA DOME,CA0695,90429,2772,,,,,0,,,,0,,,December 1992,
CLARK MOUNTAIN,CA0691,217231,16139,,,,,0,,,,45,,,January 2007,
COYOTE CANYON,CA0663,285,21135,,,,,0,,,,0,,,,
DEAD MOUNTAIN,CA0697,38580,4178,,,,,0,,,,29,,,April 1982,
GRANITE-PROVIDENCE MOUNTAINS,CA0693,174209,18533,,,,,0,,,,0,,,August 1999,
KRAMER,CA0682,5646,8378,,,,,0,,,,0,,,January 1990,
LAVA BEDS,CA0692,170681,8564,,,,,0,,,,0,,,May 1997,
MORONGO,CA0661,27438,11098,,,,,0,,,,0,,,February 1988,
NEW YEARS LAKE  (in CA0269),CA0260,256352,59917,,,,,0,,,,0,,,,
PANAMINT,CA0653,360407,54292,,,,,0,,,,30,,,March 2004,
PICACHO (within CA0671),CA0672,0,0,,,,,0,,,,0,,,November 2002,
PIUTE MOUNTAIN,CA0696,37335,2445,,,,,0,,,,29,,,October 1987,
SAND SPRING-LAST CHANCE,CA0657,233152,7428,,,,,0,,,,0,,,May 1995,
SHAFFER MOUNTAIN,CA0240,29358,7510,,,,,0,,,,0,,,,
SLATE RANGE,CA0655,75713,437249,,,,,0,,,,30,,,January 2007,
TULEDAD (in CA0261 & CA0262),CA0270,2933,2371,,,,,0,,,,0,,,,
WOODS-HACKBERRY,CA0694,46343,10201,,,,,0,,,,0,,,December 1992,
OUTSIDE OF HERD AREAS,CA000Z,,,,,,,107,,,,50,,,January 2007,
LITTLE BOOK CLIFFS WILD HORSE RANG ,CO0766,51086,1601,35205,925,150,,141,,,,0,,,October 2004,2005
PICEANCE-EAST DOUGLAS CREEK,CO0161,158281,31741,158281,31741,235,,206,,,,0,,,September 2006,2006
SAND WASH BASIN,CO0143,151548,5092,151548,5092,362,,202,,,,0,,,September 2005,2005
SPRING CREEK BASIN,CO0384,43101,11500,21064,898,65,,94,,,,0,,,August 2005,2005
DOUGLAS MOUNTAIN,CO0144,65829,10892,,,,,0,,,,0,,,,
NATURITA RIDGE,CO0345,53803,9490,,,,,0,,,,0,,,,
NORTH PICEANCE (in CO0161),CO0163,76959,12396,,,,,12,,,,0,,,September 2006,
WEST DOUGLAS CREEK,CO0162,123341,4752,,,,,101,,,,0,,,October 2006,
OUTSIDE OF HERD AREAS,CO000Z,,,,,,,15,,,,0,,,September 2006,
BLACK MOUNTAIN,ID0006,46636,4717,46546,4357,60,,73,,0,,0,,,August 2005,2005
CHALLIS,ID0005,156563,11288,156563,11288,253,,265,,0,,0,,,August 2004,2004
FOUR MILE,ID0002,21002,4803,15995,2040,60,,71,,0,,0,,,November 2003,2004
HARD TRIGGER,ID0007,62159,7722,60118,7697,130,,208,,0,,0,,,November 2003,2004
SAND BASIN,ID0004,9448,2267,9448,2267,64,,60,,0,,0,,,October 2003,2004
SAYLOR CREEK,ID0003,89237,12638,89237,12638,50,,126,,0,,0,,,August 2005,2005
MORGAN CREEK,ID0009,21230,2816,,,,,0,,,,0,,,,
SHEEP MOUNTAIN,ID0008,13899,893,,,,,0,,,,0,,,,
WEST CRANE CREEK,ID0001,8247,2091,,,,,0,,,,0,,,September 1989,
OUTSIDE OF HERD AREAS,ID000Z,,,,,,,0,,,,0,,,,
PRYOR MOUNTAIN WILD HORSE RANGE  ,MT0251,28282,8865,28282,8865,105,,154,,0,,0,,,September 2003,1997
BARTON GULCH,MT0253,8087,10396,,,,,0,,,,0,,,,
DEVILS FENCE,MT0254,16414,52050,,,,,0,,,,0,,,,
ERVIN RIDGE,MT0252,6587,5175,,,,,0,,,,0,,,,
GARDEN CREEK,MT0255,13351,12900,,,,,0,,,,0,,,,
ROCKY HILLS,MT0257,25552,13815,,,,,0,,,,0,,,,
SWEETWATER,MT0256,6088,16041,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,MT000Z,,,,,,,0,,,,0,,,September 2003,
AMARGOSA VALLEY,NV0511,8172,729,8172,729,0,,0,,0,,0,,,April 1990,1990
ANTELOPE,NV0401,393070,7568,393070,7568,324,,230,,0,,0,,,January 2005,2005
ANTELOPE VALLEY,NV0107,496360,6554,496360,6554,259,,240,,0,,0,,,January 2005,2005
APPLEWHITE,NV0518,30641,328,30641,328,1,,5,,0,,0,,,,2001
ASH MEADOWS,NV0509,97831,17661,97831,17661,0,,0,,0,,0,,,December 1993,1993
AUGUSTA MOUNTAINS,NV0311,311852,4128,176292,1347,308,,297,,0,,0,,,September 2003,2003
BALD MOUNTAIN,NV0603,139698,182,139698,182,215,,338,,0,,0,,,July 1981,
BLACK ROCK RANGE EAST,NV0209,89565,3873,89565,3873,93,,74,,0,,0,,,November 2004,2005
BLACK ROCK RANGE WEST,NV0227,91095,1899,91095,1899,93,,76,,0,,0,,,December 2004,2005
BLUE NOSE PEAK,NV0514,84622,166,84622,166,1,,5,,0,,0,,,,
BLUE WING MOUNTAINS,NV0217,17854,0,17854,0,36,,20,,28,,19,,,November 2005,2006
BUCK-BALD**,NV0403,825611,13314,825611,13314,423,,350,,0,,0,,,August 2006,2006
BUFFALO HILLS,NV0220,124233,7627,124233,7627,314,,405,,0,,0,,,February 2005,2002
BULLFROG,NV0629,147322,9881,142101,9676,12,,0,,185,,32,,,August 1996,
BUTTE,NV0407,436712,7247,436712,7247,95,,80,,0,,0,,,August 2006,2006
CALICO MOUNTAINS,NV0222,157722,2415,157722,2415,333,,264,,0,,0,,,January 2005,2005
CALLAGHAN,NV0604,152723,3514,152723,3514,237,,669,,0,,0,,,August 2002,
CHERRY CREEK,NV0406,35744,1531,35744,1531,0,,5,,0,,0,,,,
